city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Ghāziābād,28.6667,77.4167,India,IN,Uttar Pradesh,,2381452,2381452
New Delhi,28.7,77.2,India,IN,Delhi,primary,142004,142004
Hāpur,28.7437,77.7628,India,IN,Uttar Pradesh,,242920,242920
Bhiwāni,28.7833,76.1333,India,IN,Haryāna,,197662,197662
Rāmpur,28.8154,79.025,India,IN,Uttar Pradesh,,296418,296418
Morādābād,28.8418,78.7568,India,IN,Uttar Pradesh,,787000,787000
Rohtak,28.9,76.5667,India,IN,Haryāna,,374292,374292
Meerut,28.99,77.7,India,IN,Uttar Pradesh,,1305429,1305429
Sonīpat,28.9958,77.0114,India,IN,Haryāna,,250521,250521
Hisar,29.1489,75.7367,India,IN,Haryāna,,307024,307024
Naini Tal,29.3919,79.4542,India,IN,Uttarakhand,,41377,41377
Kairāna,29.4,77.2,India,IN,Uttar Pradesh,,73046,73046
Pānīpat,29.4004,76.97,India,IN,Haryāna,,292808,292808
Muzaffarnagar,29.4708,77.7033,India,IN,Uttar Pradesh,,392451,392451
Sirsa,29.4904,75.03,India,IN,Haryāna,,181639,181639
Karnāl,29.6804,76.97,India,IN,Haryāna,,225049,225049
Lansdowne,29.83,78.68,India,IN,Uttarakhand,,5667,5667
Sahāranpur,29.964,77.546,India,IN,Uttar Pradesh,,705478,705478
Abohar,30.1204,74.29,India,IN,Punjab,,130603,130603
Malaut,30.19,74.499,India,IN,Punjab,,70958,70958
Dehra Dūn,30.318,78.029,India,IN,Uttarakhand,admin,578420,578420
Patiāla,30.3204,76.385,India,IN,Punjab,,329224,329224
Ambāla,30.3786,76.7725,India,IN,Haryāna,,146787,146787
Panchkula,30.6915,76.8537,India,IN,Haryāna,minor,,
Mauli,30.7194,76.7181,India,IN,Punjab,,146213,146213
Chandīgarh,30.7353,76.7911,India,IN,Chandīgarh,admin,1026459,1026459
Ludhiāna,30.9083,75.8486,India,IN,Punjab,,1649000,1649000
Solan,30.92,77.12,India,IN,Himāchal Pradesh,,39256,39256
Shimla,31.1033,77.1722,India,IN,Himāchal Pradesh,admin,206575,206575
Khem Karan,31.16,74.66,India,IN,Punjab,,11938,11938
Jalandhar,31.3256,75.5792,India,IN,Punjab,,873725,873725
Harīpur,31.52,75.98,India,IN,Punjab,,158142,158142
Amritsar,31.6167,74.85,India,IN,Punjab,,1132383,1132383
Kulu,31.96,77.1,India,IN,Himāchal Pradesh,,18536,18536
Manāli,32.2044,77.17,India,IN,Himāchal Pradesh,,8096,8096
Dharmsāla,32.2167,76.3167,India,IN,Himāchal Pradesh,,19034,19034
Pathānkot,32.2689,75.6497,India,IN,Punjab,,155909,155909
Jammu,32.7333,74.85,India,IN,Jammu and Kashmīr,,502197,502197
Udhampur,32.93,75.13,India,IN,Jammu and Kashmīr,,35507,35507
Rajaori,33.38,74.3,India,IN,Jammu and Kashmīr,,41552,41552
Kulgam,33.64,75.02,India,IN,Jammu and Kashmīr,,23584,23584
Srīnagar,34.0911,74.8061,India,IN,Jammu and Kashmīr,admin,1180570,1180570
Bāramūla,34.2,74.34,India,IN,Jammu and Kashmīr,,167986,167986
Sopur,34.3,74.47,India,IN,Jammu and Kashmīr,,118608,118608
Handwāra,34.4,74.28,India,IN,Jammu and Kashmīr,,269311,269311
Bandipura,34.4225,74.6375,India,IN,Jammu and Kashmīr,,27482,27482
