rank,prev_rank,name,league,off,def,spi
156,162,St Etienne,French Ligue 1,1.39,1.03,54.03
157,156,Schalke 04,German Bundesliga,1.6,1.24,53.96
158,170,Antwerp,Belgian Jupiler League,1.58,1.22,53.95
159,166,León,Mexican Primera Division Torneo Apertura,1.53,1.17,53.92
160,171,Stoke City,English League Championship,1.43,1.09,53.79
161,150,Cruz Azul,Mexican Primera Division Torneo Apertura,1.53,1.19,53.75
162,160,Vitesse,Dutch Eredivisie,1.63,1.28,53.71
163,157,Swansea City,English League Championship,1.37,1.04,53.56
164,172,Spezia,Italy Serie A,1.52,1.19,53.45
165,158,Anderlecht,Belgian Jupiler League,1.5,1.17,53.35
166,164,Velez Sarsfield,Argentina Primera Division,1.22,0.9,53.34
167,147,Ludogorets,UEFA Europa League,1.59,1.26,53.22
168,161,Santos,Brasileiro Série A,1.37,1.05,53.13
169,168,Monterrey,Mexican Primera Division Torneo Apertura,1.56,1.24,53.09
170,190,Blackburn,English League Championship,1.49,1.19,52.67
171,163,Lech Poznan,UEFA Europa League,1.42,1.13,52.55
172,181,Benevento,Italy Serie A,1.53,1.24,52.44
173,152,Sporting de Charleroi,Belgian Jupiler League,1.51,1.22,52.36
174,184,Bragantino,Brasileiro Série A,1.31,1.03,52.31
175,173,Rio Ave,Portuguese Liga,1.25,0.97,52.29
176,189,Pachuca,Mexican Primera Division Torneo Apertura,1.3,1.03,52.09
177,154,Atlético Paranaense,Brasileiro Série A,1.21,0.94,51.99
178,191,Guimaraes,Portuguese Liga,1.3,1.04,51.98
179,183,Defensa y Justicia,Argentina Primera Division,1.28,1.02,51.81
180,188,Middlesbrough,English League Championship,1.3,1.04,51.63
181,177,Crotone,Italy Serie A,1.4,1.15,51.58
182,185,Santos Laguna,Mexican Primera Division Torneo Apertura,1.46,1.21,51.55
183,179,Fluminense,Brasileiro Série A,1.21,0.97,51.41
184,186,CFR 1907 Cluj,UEFA Europa League,1.49,1.25,51.33
185,187,Jiangsu Suning FC,Chinese Super League,1.5,1.26,51.28
186,176,CSKA Sofia,UEFA Europa League,1.27,1.03,51.24
187,182,Sochi,Russian Premier Liga,1.43,1.19,51.09
188,192,Los Angeles FC,Major League Soccer,1.78,1.55,50.97
189,174,Philadelphia Union,Major League Soccer,1.6,1.38,50.91
190,193,New York City FC,Major League Soccer,1.67,1.46,50.69
191,206,Ceará,Brasileiro Série A,1.38,1.17,50.64
192,200,Brondby,Danish SAS-Ligaen,1.56,1.36,50.49
193,195,FC Copenhagen,Danish SAS-Ligaen,1.63,1.42,50.46
194,180,Nimes,French Ligue 1,1.37,1.18,50.31
195,210,FC Utrecht,Dutch Eredivisie,1.59,1.4,50.2
196,175,Wolfsberger AC,Austrian T-Mobile Bundesliga,1.56,1.37,50.11
197,224,Mallorca,Spanish Segunda Division,1.16,0.97,50.07
198,196,Club América,Mexican Primera Division Torneo Apertura,1.49,1.3,50
199,198,Shandong Luneng,Chinese Super League,1.6,1.43,49.81
200,194,Lorient,French Ligue 1,1.37,1.19,49.76
201,209,Rubin Kazan,Russian Premier Liga,1.22,1.05,49.72
202,169,KAA Gent,Belgian Jupiler League,1.56,1.39,49.64
203,201,CA Independiente,Argentina Primera Division,1.2,1.04,49.46
204,205,Dijon FCO,French Ligue 1,1.36,1.2,49.39
205,203,Seattle Sounders FC,Major League Soccer,1.45,1.3,49.32
206,214,Standard Liege,Belgian Jupiler League,1.33,1.18,49.18
207,208,Millwall,English League Championship,1.22,1.07,49.18
208,204,Fortaleza,Brasileiro Série A,1.17,1.02,49.05
209,199,FK Qarabag,UEFA Europa League,1.35,1.2,49.01
210,219,FC Nordsjaelland,Danish SAS-Ligaen,1.56,1.44,48.79
211,215,Corinthians,Brasileiro Série A,1.21,1.07,48.75
212,211,Newell's Old Boys,Argentina Primera Division,1.24,1.11,48.58
213,212,Racing Club,Argentina Primera Division,1.18,1.06,48.4
214,202,Bristol City,English League Championship,1.31,1.21,48.08
215,207,Bahía,Brasileiro Série A,1.34,1.24,47.89
216,218,Pacos Ferreira,Portuguese Liga,1.31,1.21,47.77
217,217,Panathinaikos,Greek Super League,1.08,0.98,47.54
218,216,Terek Grozny,Russian Premier Liga,1.21,1.13,47.38
219,222,Huddersfield Town,English League Championship,1.31,1.24,47.32
220,220,Yokohama F. Marinos,Japanese J League,1.76,1.71,47.25
221,221,St Gallen,Swiss Raiffeisen Super League,1.52,1.48,46.87
222,213,AGF Aarhus,Danish SAS-Ligaen,1.46,1.42,46.82
223,227,Guadalajara,Mexican Primera Division Torneo Apertura,1.28,1.24,46.69
224,231,Reading,English League Championship,1.28,1.24,46.45
225,225,Santa Clara,Portuguese Liga,1.22,1.19,46.18
226,223,Barnsley,English League Championship,1.21,1.18,46.18
227,228,Toulouse,French Ligue 2,1.42,1.41,46.09
228,229,Morelia,Mexican Primera Division Torneo Clausura,1.43,1.42,46.04
229,236,FC Lugano,Swiss Raiffeisen Super League,1.31,1.3,45.84
230,230,Lanus,Argentina Primera Division,1.28,1.27,45.68
231,256,New England Revolution,Major League Soccer,1.43,1.44,45.63
232,197,Preston North End,English League Championship,1.24,1.24,45.6
233,241,Queens Park Rangers,English League Championship,1.39,1.4,45.45
234,226,Hamburg SV,German 2. Bundesliga,1.47,1.5,45.22
235,233,Omonia Nicosia,UEFA Europa League,1.37,1.39,45.22
236,237,SK Sturm Graz,Austrian T-Mobile Bundesliga,1.32,1.34,45.18
237,244,Nottingham Forest,English League Championship,1.18,1.21,44.83
238,242,Talleres de Córdoba,Argentina Primera Division,1.21,1.23,44.82
239,234,Famalicao,Portuguese Liga,1.27,1.3,44.81
240,243,Gil Vicente,Portuguese Liga,1.19,1.21,44.78
241,240,Botafogo,Brasileiro Série A,1.23,1.26,44.78
242,245,Portimonense,Portuguese Liga,1.18,1.2,44.75
243,247,FC Arsenal Tula,Russian Premier Liga,1.26,1.32,44.31
244,254,Ural Sverdlovsk Oblast,Russian Premier Liga,1.09,1.13,44.16
245,232,Djurgardens IF,Swedish Allsvenskan,1.33,1.41,44.09
246,249,Atlético Goianiense,Brasileiro Série A,1.1,1.15,44.08
247,246,SC Farense,Portuguese Liga,1.27,1.34,43.93
248,277,FC Zorya Luhansk,UEFA Europa League,1.26,1.34,43.84
249,260,Kasimpasa,Turkish Turkcell Super Lig,1.34,1.43,43.81
250,251,Aris Salonika,Greek Super League,1.32,1.4,43.8
251,239,Pumas Unam,Mexican Primera Division Torneo Apertura,1.26,1.34,43.68
252,248,SC Paderborn,German 2. Bundesliga,1.3,1.4,43.39
253,238,Vasco da Gama,Brasileiro Série A,1.17,1.26,43.34
254,300,Almeria,Spanish Segunda Division,1.13,1.21,43.32
255,250,Gazisehir Gaziantep,Turkish Turkcell Super Lig,1.3,1.41,43.22
256,255,Sivasspor,Turkish Turkcell Super Lig,1.26,1.37,43.14
257,257,Dundalk,UEFA Europa League,1.52,1.66,43.1
258,258,Birmingham,English League Championship,1.16,1.26,43.06
259,252,Boavista,Portuguese Liga,1.14,1.23,43.06
260,282,Rotherham United,English League Championship,1.21,1.32,42.97
261,261,Argentinos Juniors,Argentina Primera Division,1,1.08,42.87
262,279,Goztepe,Turkish Turkcell Super Lig,1.29,1.41,42.76
263,263,Rosario Central,Argentina Primera Division,1.15,1.27,42.73
264,264,Estudiantes,Argentina Primera Division,1,1.1,42.6
265,270,Kashima Antlers,Japanese J League,1.29,1.43,42.56
266,265,Sheffield Wednesday,English League Championship,1.05,1.16,42.55
267,259,Konyaspor,Turkish Turkcell Super Lig,1.16,1.29,42.54
268,266,Sporting Kansas City,Major League Soccer,1.39,1.54,42.53
269,294,FC Khimki,Russian Premier Liga,1.24,1.38,42.43
270,290,Heerenveen,Dutch Eredivisie,1.51,1.69,42.21
271,271,Portland Timbers,Major League Soccer,1.47,1.65,42.13
272,268,Moreirense,Portuguese Liga,1.15,1.29,42.11
273,293,IFK Norrkoping,Swedish Allsvenskan,1.5,1.69,42.06
274,272,Necaxa,Mexican Primera Division Torneo Apertura,1.14,1.29,41.95
275,280,AaB,Danish SAS-Ligaen,1.16,1.32,41.79
276,274,Arsenal Sarandi,Argentina Primera Division,1.28,1.45,41.78
277,285,FC Groningen,Dutch Eredivisie,1.09,1.23,41.73
278,262,Derby County,English League Championship,1.12,1.28,41.57
279,235,Rosenborg,Norwegian Tippeligaen,1.43,1.64,41.55
280,283,Tianjin Teda,Chinese Super League,1.28,1.47,41.44
281,329,Hull City,English League One,1.29,1.49,41.4
282,278,C.D. Nacional,Portuguese Liga,1.13,1.3,41.31
283,284,Atlético Tucumán,Argentina Primera Division,1.07,1.24,41.23
284,286,Chicago Fire,Major League Soccer,1.48,1.72,41.16
285,273,Amiens,French Ligue 2,1.07,1.24,41.15
286,304,Troyes,French Ligue 2,1.11,1.28,41.14
287,297,FK Austria Vienna,Austrian T-Mobile Bundesliga,1.16,1.35,41.07
288,299,Monza,Italy Serie B,1.24,1.44,41.07
289,267,FC Twente,Dutch Eredivisie,1.36,1.59,41
290,326,FC Luzern,Swiss Raiffeisen Super League,1.37,1.59,40.98
291,289,San Lorenzo,Argentina Primera Division,1.14,1.33,40.96
292,253,Fortuna Düsseldorf,German 2. Bundesliga,1.24,1.45,40.9
293,312,Leganes,Spanish Segunda Division,1.07,1.26,40.84
294,311,KFCO Beerschot-Wilrijk,Belgian Jupiler League,1.67,1.95,40.81
295,291,Rayo Vallecano,Spanish Segunda Division,1.1,1.29,40.76
296,275,Hannover 96,German 2. Bundesliga,1.23,1.45,40.59
297,281,Orlando City SC,Major League Soccer,1.32,1.56,40.56
298,303,Sparta,Dutch Eredivisie,1.35,1.6,40.51
299,296,Inter Miami CF,Major League Soccer,1.28,1.51,40.49
300,301,Patronato,Argentina Primera Division,1.2,1.43,40.35
301,302,Gimnasia La Plata,Argentina Primera Division,0.98,1.17,40.3
302,287,Coritiba,Brasileiro Série A,1.1,1.32,40.22
303,305,Tijuana,Mexican Primera Division Torneo Apertura,1.15,1.38,40.19
304,306,Minnesota United FC,Major League Soccer,1.38,1.66,40.07
305,356,FC Ufa,Russian Premier Liga,0.98,1.19,40.04
306,307,Maritimo,Portuguese Liga,1.1,1.33,39.99
307,345,Coventry City,English League Championship,1.15,1.39,39.95
308,308,Colorado Rapids,Major League Soccer,1.37,1.65,39.89
309,288,Heracles,Dutch Eredivisie,1.29,1.57,39.7
310,276,Toronto FC,Major League Soccer,1.29,1.57,39.67
311,313,Banfield,Argentina Primera Division,0.98,1.2,39.66
312,314,Atlas,Mexican Primera Division Torneo Apertura,1.08,1.32,39.56
313,325,Belenenses,Portuguese Liga,0.92,1.14,39.51
314,317,Arizona United,United Soccer League,1.48,1.8,39.5
315,348,BK Hacken,Swedish Allsvenskan,1.12,1.38,39.47
316,316,Goiás,Brasileiro Série A,1.15,1.41,39.45
317,318,FC Dallas,Major League Soccer,1.28,1.57,39.44
318,295,Sanfrecce Hiroshima,Japanese J League,1.05,1.29,39.42
319,319,Querétaro,Mexican Primera Division Torneo Apertura,1.17,1.44,39.38
320,340,KV Kortrijk,Belgian Jupiler League,1.26,1.55,39.37
321,328,PEC Zwolle,Dutch Eredivisie,1.29,1.58,39.36
322,315,Slovan Liberec,UEFA Europa League,1.22,1.5,39.23
323,330,Columbus Crew,Major League Soccer,1.25,1.55,39.16
324,322,Union Santa Fe,Argentina Primera Division,1,1.25,39.16
325,347,Clermont Foot,French Ligue 2,0.99,1.24,39.15
326,377,Kashiwa Reysol,Japanese J League,1.37,1.69,39.11
327,323,SpVgg Greuther Fürth,German 2. Bundesliga,1.24,1.54,39.07
328,327,Asteras Tripolis,Greek Super League,1.04,1.3,39.02
329,310,KV Mechelen,Belgian Jupiler League,1.38,1.71,39.01
330,309,Hammarby,Swedish Allsvenskan,1.51,1.87,38.83
331,331,New York Red Bulls,Major League Soccer,1.3,1.63,38.83
332,333,Shanghai Greenland,Chinese Super League,1.34,1.68,38.68
333,320,St. Pölten,Austrian T-Mobile Bundesliga,1.32,1.66,38.61
334,324,Sport Recife,Brasileiro Série A,1.1,1.39,38.55
335,334,Henan Jianye,Chinese Super League,1.25,1.57,38.55
336,335,FC Juárez,Mexican Primera Division Torneo Apertura,1.12,1.42,38.51
337,382,VfL Bochum,German 2. Bundesliga,1.19,1.51,38.42
338,298,Luton Town,English League Championship,1.05,1.34,38.37
339,375,Randers FC,Danish SAS-Ligaen,1.17,1.49,38.31
340,269,FC Tambov,Russian Premier Liga,1.02,1.31,38.3
341,338,FC Zurich,Swiss Raiffeisen Super League,1.37,1.73,38.29
342,344,Rijeka,UEFA Europa League,1.23,1.57,38.29
343,321,Tondela,Portuguese Liga,1.09,1.4,38.21
344,341,Toluca,Mexican Primera Division Torneo Apertura,1.24,1.59,38.16
345,342,Hebei China Fortune FC,Chinese Super League,1.29,1.65,38.14
346,354,Cerezo Osaka,Japanese J League,0.99,1.28,38.1
347,343,Mamelodi Sundowns,South African ABSA Premier League,0.98,1.26,38.09
348,363,Lecce,Italy Serie B,1.25,1.6,38.08
349,346,Huracán,Argentina Primera Division,0.95,1.24,37.93
350,336,Willem II,Dutch Eredivisie,1.27,1.64,37.82
351,350,Fatih Karagümrük,Turkish Turkcell Super Lig,1.16,1.5,37.79
352,361,Sporting Gijón,Spanish Segunda Division,0.89,1.18,37.63
353,353,Wuhan Zall,Chinese Super League,1.17,1.53,37.62
354,379,1. FC Heidenheim 1846,German 2. Bundesliga,1.16,1.52,37.54
355,360,Wycombe Wanderers,English League Championship,1.09,1.44,37.46
356,358,Atlanta United FC,Major League Soccer,1.11,1.46,37.41
357,351,Auxerre,French Ligue 2,1.12,1.49,37.3
358,359,Atromitos,Greek Super League,1,1.33,37.25
359,292,Servette,Swiss Raiffeisen Super League,1.19,1.57,37.24
360,349,Odense BK,Danish SAS-Ligaen,1.17,1.55,37.19
361,365,OH Leuven,Belgian Jupiler League,1.33,1.74,37.19
362,362,Central Córdoba Santiago del Estero,Argentina Primera Division,1,1.34,37.16
363,398,Eupen,Belgian Jupiler League,1.19,1.58,37.05
364,352,Nagoya Grampus Eight,Japanese J League,0.96,1.3,37
365,391,Nashville SC,Major League Soccer,0.99,1.33,36.92
366,374,Karlsruher SC,German 2. Bundesliga,1.14,1.52,36.85
367,337,Lausanne Sports,Swiss Raiffeisen Super League,1.14,1.53,36.79
368,369,Dalian Aerbin,Chinese Super League,1.29,1.73,36.66
369,416,SV Zulte Waregem,Belgian Jupiler League,1.28,1.72,36.61
370,376,Hartberg,Austrian T-Mobile Bundesliga,1.32,1.76,36.6
371,370,Kaizer Chiefs,South African ABSA Premier League,1.01,1.39,36.44
372,380,Spal,Italy Serie B,1.11,1.52,36.41
373,378,Fuenlabrada,Spanish Segunda Division,0.94,1.29,36.4
374,372,Antalyaspor,Turkish Turkcell Super Lig,1.13,1.54,36.35
375,402,1. FC Nürnberg,German 2. Bundesliga,1.17,1.59,36.31
376,373,Houston Dynamo,Major League Soccer,1.28,1.73,36.3
377,367,FK Volgograd,Russian Premier Liga,0.96,1.33,36.26
378,357,Sonderjyske,Danish SAS-Ligaen,1.17,1.59,36.26
379,332,Girona FC,Spanish Segunda Division,0.89,1.24,36.24
380,387,Yeni Malatyaspor,Turkish Turkcell Super Lig,1.09,1.5,36.17
381,397,Mirandes,Spanish Segunda Division,0.96,1.35,35.89
382,364,FC Sion,Swiss Raiffeisen Super League,1.07,1.49,35.85
383,384,San Jose Earthquakes,Major League Soccer,1.29,1.78,35.71
384,371,Puebla,Mexican Primera Division Torneo Apertura,1.04,1.46,35.64
385,339,Caykur Rizespor,Turkish Turkcell Super Lig,1.18,1.63,35.64
386,388,Atlético San Luis,Mexican Primera Division Torneo Apertura,1.09,1.53,35.39
387,389,Melbourne City,Australian A-League,1.17,1.64,35.39
